ear_left,ear_right,ear_avg,mar,pitch,yaw,roll,label
0.199141191763724,0.2577364808963713,0.22843883633004763,0.4166704384316079,179.00388418105214,0.7834101676946963,-1.7208122376791004,0
0.2747808088534093,0.27788111215189126,0.27633096050265027,0.40881427965923245,176.43741599526928,0.23235474309778806,-1.9813675442309397,0
0.3106722532274414,0.2947710544316151,0.30272165382952826,0.4021440124119871,179.0660960533625,-0.10313407853540843,-1.8169380190213567,0
0.32685268369873155,0.30367534504770594,0.3152640143732187,0.4169643566086219,179.71665519576112,0.7243389744530385,-1.7855974423351666,0
0.3309895931864683,0.3113140261953404,0.32115180969090434,0.45480644902991463,-179.45996807589472,1.0549566185052377,-1.9035569727257773,0
0.3352504822871954,0.31410195205200225,0.3246762171695988,0.4550359053504116,179.88143490172783,1.2564931665066192,-1.7950377957999089,0
0.3323024443011319,0.3074454260986973,0.3198739351999146,0.4085467502364184,-178.8268191175071,1.3998150570924222,-1.9501452778974107,0
0.3324537385132594,0.3087948761302062,0.32062430732173275,0.4110944839387216,-178.82486527112624,1.3975226897597959,-1.9882436407187953,0
0.34320470438638156,0.3044933622041596,0.3238490332952706,0.42328240798073447,-178.41738488261169,1.1803732683457022,-1.7704377231699897,0
0.333613508844548,0.3075208062538408,0.3205671575491944,0.40150118624287184,-178.35009348460756,1.439343844353194,-1.944509927311644,0
0.34097538824418455,0.3148352914214823,0.32790533983283343,0.536864690159722,-4.7350668677080705,5.448628661887395,-4.323107006600918,0
0.3478049431534331,0.31409008932384314,0.3309475162386381,0.5416832101247656,-4.993714321279867,2.988884508414059,-4.062026783871818,0
0.344535705373376,0.31293783163472033,0.3287367685040482,0.5331596522429525,-5.876000979768207,2.8109954551761036,-4.028674251492576,0
0.3426547424631917,0.31279499717592335,0.3277248698195575,0.5333552799757785,-5.58235499402096,2.686802213924121,-4.11956187686489,0
0.34416380237806526,0.31415189579374314,0.3291578490859042,0.5346870744654703,-5.513052659353406,2.738969699021142,-4.1278515368933,0
0.3043866221413991,0.2724199193550291,0.28840327074821415,0.5200778148600379,-6.501812970404586,2.56550753036892,-3.9404581000217793,0
0.3042577439543443,0.2728632275536288,0.2885604857539865,0.5236275420567954,-6.003354674246765,3.1194860095818586,-4.0281425794522745,0
0.25619712141301854,0.2271947504350571,0.24169593592403782,0.5137112327515907,-6.31907618953835,2.7011660334507366,-3.878298105450651,0
0.26660054935483973,0.252436113969013,0.2595183316619264,0.5144190989817379,-6.077584331927028,2.4161887376858764,-3.7179556923485704,0
0.2833224350197268,0.2693954459825458,0.2763589405011363,0.5189781707683117,-5.81301423590503,2.6330176583682663,-3.7334024340687266,0
0.3407159210834738,0.3154785245381593,0.32809722281081655,0.4541905475337733,-1.54388093699896,5.142541292323285,-3.8953200757406865,0
0.3482853344494818,0.3184203796907851,0.33335285707013346,0.45513722588699385,0.0666528657912977,3.670531023378059,-3.9201736910966085,0
0.3572805113822528,0.3334967215904016,0.34538861648632724,0.4700504201474062,-0.9222294739108747,4.226952192975015,-3.9549141891427197,0
0.35331764907520674,0.32300630083460324,0.33816197495490496,0.4688560518967494,-1.3789278263695621,4.822473931385193,-4.036812453201916,0
0.35987082809222426,0.32583636755276696,0.3428535978224956,0.45840464345400755,-1.5543034595731342,4.810526744460848,-4.0481249095905625,0
0.3600998740047464,0.3208258864429978,0.3404628802238721,0.4642743209725473,-1.1922877939668126,5.163615378712232,-4.036315733424859,0
0.358614799881119,0.32256294312675077,0.3405888715039349,0.4552149008411593,-1.6209979679146898,5.359695455919343,-4.190468129389195,0
0.3604878516894741,0.31971999896710473,0.3401039253282894,0.45834832416888244,-0.9779870373770905,5.46466408305994,-4.10762353870938,0
0.35725994426005386,0.3156101239685068,0.33643503411428033,0.45433614645580084,-1.8357959128217658,5.565904796755628,-4.14468709152366,0
0.36176572876114876,0.3103707172923295,0.3360682230267391,0.44930287408781505,-0.8730766802935079,5.299931722854735,-4.023465572321921,0
0.3649803955376844,0.3147485007274482,0.33986444813256633,0.45339249625173556,-0.9463386206440987,5.047374736533162,-4.021272755226212,0
0.3566874047979056,0.3104081280931657,0.33354776644553563,0.45175133349502444,-0.897025489021587,4.74443726970007,-4.007447392919937,0
0.3641368241218201,0.30286807753505535,0.3335024508284377,0.45202850332651306,-0.8669286374465912,4.296465250863218,-3.9129263070479072,0
0.3607663808313347,0.3155466369770746,0.3381565089042047,0.4521071746090964,-0.5261012122139448,4.008750468347734,-3.8210865974051202,0
0.3595168006190478,0.3104381143092725,0.33497745746416013,0.45146340358091486,-1.1554312496128603,4.043765428025302,-3.8564123468515352,0
0.359000638610345,0.3141671114716036,0.3365838750409743,0.44920684380186593,-1.105148324341144,4.110705887593953,-3.7968968988967244,0
0.3579817788946371,0.3121338572678274,0.33505781808123225,0.4528743328328292,-1.1934124055114808,4.053003819726049,-3.7678759923792273,0
0.35834353278879083,0.31104169962586425,0.33469261620732754,0.4537418266711725,-0.8688095326124881,4.0875309249678144,-3.7917085439414113,0
0.357980895896397,0.31357690458975734,0.33577890024307716,0.46030905886761897,-0.5750152480203496,4.308922228571055,-3.7436251112162577,0
0.35627419216876854,0.3092969982253038,0.3327855951970362,0.4624814009843105,-0.47447982914448517,4.091491833987437,-3.8243175877389333,0
0.359853582451774,0.30606348781693704,0.3329585351343555,0.4592231371552056,-0.10612159991211456,3.9491262568978964,-3.796717165421761,0
0.36150515359736207,0.3109235086153773,0.33621433110636967,0.4528671953160613,-0.3407026346299915,3.87897557794972,-3.8416617732757077,0
0.36197944065057563,0.31098915390950876,0.3364842972800422,0.46592537998034306,-0.678917679685128,4.37921284116532,-3.8852950104035355,0
0.3591367018759251,0.3116674122613381,0.3354020570686316,0.46526105275029805,-0.3695170053361494,4.388578996823508,-3.823736790030866,0
0.3653583424004704,0.3112852645367299,0.33832180346860014,0.45198395526802193,-0.049675893052466336,3.902010523189764,-3.891947577205674,0
0.36087272379185537,0.309874903992205,0.3353738138920302,0.4578811098470785,-0.17372523086561387,3.8987997564477137,-3.978791574343536,0
